T0;Tr1;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP1;Um;Ub1;Ub2;Tr2;TrSP2;;Uchyb;B³¹d wzglêdny uchybu
02.maj;21.008852;44.56213;52.893186;50.628538;50.625;78.75;0.011111;0.011111;20;0.125072;1;1;21.008852;20;;1.008852;5.04%
02.maj;21.032425;44.567487;52.890635;50.628123;50.625;78.75;0.011111;0.011111;20;0.124947;1;1;21.032425;20;;1.032425;5.16%
02.maj;21.053305;44.572248;52.888377;50.627761;50.625;78.75;0.011111;0.011111;20;0.124836;1;1;21.053305;20;;1.053305;5.27%
02.maj;21.071799;44.576476;52.886377;50.627445;50.625;78.75;0.011111;0.011111;20;0.124738;1;1;21.071799;20;;1.071799;5.36%
02.maj;21.088079;44.567622;52.879464;50.643306;50.625;78.75;0.010865;0.010865;20;0.122908;0.977878;0.977878;21.088079;20;;1.088079;5.44%
02.cze;21.105138;44.411104;52.586511;50.498877;50.45;78.5;0.010237;0.010237;20;0.114539;0.921292;0.921292;21.105138;20;;1.105138;5.53%
02.cze;21.108169;44.169405;52.548009;50.500952;50.45;78.5;0.009618;0.009618;20;0.111891;0.865594;0.865594;21.108169;20;;1.108169;5.54%
02.cze;21.096288;43.895258;52.503565;50.501862;50.45;78.5;0.009018;0.009018;20;0.109216;0.81161;0.81161;21.096288;20;;1.096288;5.48%
02.cze;21.069728;43.59433;52.460263;50.500941;50.45;78.5;0.008445;0.008445;20;0.106734;0.760056;0.760056;21.069728;20;;1.069728;5.35%
02.cze;21.028984;43.271588;52.418543;50.499136;50.45;78.5;0.007907;0.007907;20;0.104409;0.711605;0.711605;21.028984;20;;1.028984;5.14%
02.cze;20.97476;42.931875;52.37896;50.496561;50.45;78.5;0.00741;0.00741;20;0.102271;0.66688;0.66688;20.97476;20;;0.97476;4.87%
02.cze;20.907958;42.58059;52.342282;50.493074;50.45;78.5;0.00696;0.00696;20;0.100375;0.626443;0.626443;20.907958;20;;0.907958;4.54%
02.cze;20.829694;42.224127;52.30952;50.488452;50.45;78.5;0.006564;0.006564;20;0.098793;0.590784;0.590784;20.829694;20;;0.829694;4.15%
lut.65;20.744498;41.853479;52.165398;50.388206;50.3625;78.375;0.006221;0.006221;20;0.096764;0.559904;0.559904;20.744498;20;;0.744498;3.72%
lut.65;20.649276;41.490943;52.154121;50.381706;50.3625;78.375;0.005939;0.005939;20;0.096329;0.534545;0.534545;20.649276;20;;0.649276;3.25%
lut.65;20.546502;41.156226;52.144012;50.374569;50.3625;78.375;0.005721;0.005721;20;0.096252;0.514902;0.514902;20.546502;20;;0.546502;2.73%
lut.65;20.438881;40.856285;52.141594;50.365881;50.3625;78.375;0.005567;0.005567;20;0.09673;0.501015;0.501015;20.438881;20;;0.438881;2.19%
lut.65;20.329209;40.599242;52.147783;50.356099;50.3625;78.375;0.005475;0.005475;20;0.09778;0.492778;0.492778;20.329209;20;;0.329209;1.65%
lut.65;20.220377;40.392721;52.162989;50.345821;50.3625;78.375;0.005444;0.005444;20;0.099384;0.489931;0.489931;20.220377;20;;0.220377;1.1%
lut.65;20.115296;40.242666;52.186892;50.335826;50.3625;78.375;0.005467;0.005467;20;0.10147;0.492069;0.492069;20.115296;20;;0.115296;0.58%
lut.65;20.01677;40.152408;52.218426;50.326926;50.3625;78.375;0.005541;0.005541;20;0.103923;0.498652;0.498652;20.01677;20;;0.01677;0.08%
lut.65;19.927348;40.122101;52.255888;50.319849;50.3625;78.375;0.005656;0.005656;20;0.106595;0.509033;0.509033;19.927348;20;;0.072652;0.36%
lut.65;19.849169;40.14858;52.29713;50.31513;50.3625;78.375;0.005805;0.005805;20;0.109328;0.522488;0.522488;19.849169;20;;0.150831;0.75%
lut.65;19.783837;40.225671;52.339816;50.313035;50.3625;78.375;0.005981;0.005981;20;0.111969;0.538252;0.538252;19.783837;20;;0.216163;1.08%
lut.75;19.738678;40.312405;52.149053;50.125202;50.1875;78.125;0.006164;0.006164;20;0.112672;0.554751;0.554751;19.738678;20;;0.261322;1.31%
lut.65;19.698153;40.455968;52.439352;50.318168;50.3625;78.375;0.006366;0.006366;20;0.117003;0.572941;0.572941;19.698153;20;;0.301847;1.51%
lut.75;19.678778;40.608926;52.228679;50.136525;50.1875;78.125;0.006561;0.006561;20;0.116572;0.590503;0.590503;19.678778;20;;0.321222;1.61%
lut.75;19.670063;40.760093;52.274934;50.142956;50.1875;78.125;0.006752;0.006752;20;0.118413;0.607696;0.607696;19.670063;20;;0.329937;1.65%
lut.75;19.671405;40.925576;52.30403;50.151744;50.1875;78.125;0.006934;0.006934;20;0.119536;0.624065;0.624065;19.671405;20;;0.328595;1.64%
lut.75;19.681989;41.093811;52.326198;50.160043;50.1875;78.125;0.007102;0.007102;20;0.120285;0.639207;0.639207;19.681989;20;;0.318011;1.59%
lut.75;19.700556;41.256647;52.341899;50.16774;50.1875;78.125;0.007254;0.007254;20;0.120693;0.652817;0.652817;19.700556;20;;0.299444;1.5%
02.sie;19.728741;41.389788;52.234447;50.081784;50.1;78;0.007381;0.007381;20;0.119779;0.664283;0.664283;19.728741;20;;0.271259;1.36%
02.sie;19.760126;41.504338;52.248865;50.08718;50.1;78;0.007488;0.007488;20;0.120058;0.673934;0.673934;19.760126;20;;0.239874;1.2%
02.sie;19.793751;41.610144;52.25394;50.093145;50.1;78;0.007575;0.007575;20;0.119948;0.681732;0.681732;19.793751;20;;0.206249;1.03%
02.sie;19.828709;41.702945;52.254919;50.098133;50.1;78;0.007641;0.007641;20;0.119664;0.687678;0.687678;19.828709;20;;0.171291;0.86%
02.wrz;19.870251;41.74249;52.016948;49.917214;49.925;77.75;0.007678;0.007678;20;0.117069;0.691035;0.691035;19.870251;20;;0.129749;0.65%
02.sie;19.901511;41.797878;52.266121;50.103473;50.1;78;0.007707;0.007707;20;0.119551;0.693613;0.693613;19.901511;20;;0.098489;0.49%
02.wrz;19.938827;41.82346;52.013272;49.924707;49.925;77.75;0.00771;0.00771;20;0.116322;0.693857;0.693857;19.938827;20;;0.061173;0.31%
02.wrz;19.971623;41.820399;52.022029;49.924603;49.925;77.75;0.007698;0.007698;20;0.116448;0.692797;0.692797;19.971623;20;;0.028377;0.14%
02.wrz;20.000126;41.817172;52.019627;49.927599;49.925;77.75;0.007674;0.007674;20;0.116088;0.690637;0.690637;20.000126;20;;0.000126;0,00%
3;20.030952;41.771396;51.779535;49.745006;49.75;77.5;0.007631;0.007631;20;0.113477;0.686748;0.686748;20.030952;20;;0.030952;0.15%
3;20.054555;41.712834;51.792269;49.745076;49.75;77.5;0.00758;0.00758;20;0.113815;0.682222;0.682222;20.054555;20;;0.054555;0.27%
3;20.072244;41.665159;51.793323;49.748491;49.75;77.5;0.007525;0.007525;20;0.11363;0.677262;0.677262;20.072244;20;;0.072244;0.36%
3;20.085161;41.621508;51.791867;49.751369;49.75;77.5;0.007467;0.007467;20;0.113343;0.672017;0.672017;20.085161;20;;0.085161;0.43%
3;20.094027;41.578577;51.788613;49.753506;49.75;77.5;0.007407;0.007407;20;0.113004;0.666635;0.666635;20.094027;20;;0.094027;0.47%
3;20.099347;41.534955;51.78433;49.75481;49.75;77.5;0.007347;0.007347;20;0.112663;0.661255;0.661255;20.099347;20;;0.099347;0.5%
03.maj;20.104643;41.471969;51.662185;49.662538;49.6625;77.375;0.007285;0.007285;20;0.111305;0.655607;0.655607;20.104643;20;;0.104643;0.52%
03.maj;20.105425;41.405008;51.666967;49.662008;49.6625;77.375;0.007225;0.007225;20;0.111416;0.65026;0.65026;20.105425;20;;0.105425;0.53%
03.maj;20.102609;41.346503;51.666606;49.662826;49.6625;77.375;0.00717;0.00717;20;0.111336;0.645328;0.645328;20.102609;20;;0.102609;0.51%
03.maj;20.097042;41.293922;51.665857;49.663283;49.6625;77.375;0.007121;0.007121;20;0.111261;0.640883;0.640883;20.097042;20;;0.097042;0.49%
03.maj;20.089371;41.24624;51.665026;49.663393;49.6625;77.375;0.007078;0.007078;20;0.111207;0.636982;0.636982;20.089371;20;;0.089371;0.45%
03.maj;20.080123;41.203145;51.664418;49.663167;49.6625;77.375;0.007041;0.007041;20;0.111189;0.633664;0.633664;20.080123;20;;0.080123;0.4%
03.maj;20.069758;41.164692;51.664247;49.662689;49.6625;77.375;0.007011;0.007011;20;0.111215;0.63095;0.63095;20.069758;20;;0.069758;0.35%
3;20.055546;41.148936;51.781735;49.755194;49.75;77.5;0.006992;0.006992;20;0.112283;0.629243;0.629243;20.055546;20;;0.055546;0.28%
03.maj;20.045813;41.124011;51.656247;49.661497;49.6625;77.375;0.006974;0.006974;20;0.111042;0.627681;0.627681;20.045813;20;;0.045813;0.23%
3;20.032389;41.1106;51.780607;49.752494;49.75;77.5;0.006967;0.006967;20;0.112409;0.627073;0.627073;20.032389;20;;0.032389;0.16%
3;20.020445;41.109193;51.774398;49.752154;49.75;77.5;0.006966;0.006966;20;0.112278;0.626953;0.626953;20.020445;20;;0.020445;0.1%
3;20.009892;41.106909;51.774149;49.750497;49.75;77.5;0.00697;0.00697;20;0.11238;0.627255;0.627255;20.009892;20;;0.009892;0.05%
3;20.000575;41.105969;51.774989;49.749172;49.75;77.5;0.006977;0.006977;20;0.112522;0.62793;0.62793;20.000575;20;;0.000575;0,00%
